price_date,brand_code,city_code,region_code,fuel_code,price_nzd_per_litre,source
2024-01-05,Z,WHG,NTL,P91,2.674,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,Z,WHG,NTL,P95,2.819,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,Z,WHG,NTL,P98,2.963,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,Z,WHG,NTL,DSL,2.553,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,BP,WHG,NTL,P91,2.674,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,BP,WHG,NTL,P95,2.885,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,BP,WHG,NTL,P98,2.976,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,BP,WHG,NTL,DSL,2.597,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,Z,KKE,NTL,P91,2.763,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,Z,KKE,NTL,P95,2.908,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,Z,KKE,NTL,P98,3.064,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,Z,KKE,NTL,DSL,2.658,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,BP,KKE,NTL,P91,2.775,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,BP,KKE,NTL,P95,2.983,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,BP,KKE,NTL,P98,3.091,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,BP,KKE,NTL,DSL,2.702,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,Z,KAI,NTL,P91,2.798,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,Z,KAI,NTL,P95,2.937,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,Z,KAI,NTL,P98,3.1,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,Z,KAI,NTL,DSL,2.673,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,BP,KAI,NTL,P91,2.803,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,BP,KAI,NTL,P95,3.009,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,BP,KAI,NTL,P98,3.123,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,BP,KAI,NTL,DSL,2.74,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,Z,DAR,NTL,P91,2.747,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,Z,DAR,NTL,P95,2.911,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,Z,DAR,NTL,P98,3.056,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,Z,DAR,NTL,DSL,2.622,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,BP,DAR,NTL,P91,2.78,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,BP,DAR,NTL,P95,2.969,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,BP,DAR,NTL,P98,3.095,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,BP,DAR,NTL,DSL,2.715,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,Z,AKC,AUK,P91,2.674,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,Z,AKC,AUK,P95,2.828,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,Z,AKC,AUK,P98,2.966,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,Z,AKC,AUK,DSL,2.555,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,BP,AKC,AUK,P91,2.718,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,BP,AKC,AUK,P95,2.902,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,BP,AKC,AUK,P98,3.018,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,BP,AKC,AUK,DSL,2.651,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,MOBIL,AKC,AUK,P91,2.65,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,MOBIL,AKC,AUK,P95,2.867,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,MOBIL,AKC,AUK,P98,2.953,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,MOBIL,AKC,AUK,DSL,2.621,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,Z,ANS,AUK,P91,2.663,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,Z,ANS,AUK,P95,2.819,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,Z,ANS,AUK,P98,2.968,petrolmate scrape (2026-05-18) + brand-offset backfill
2024-01-05,Z,ANS,AUK,DSL,2.565,petrolmate scrape (2026-05-18) + brand-offset backfill
