price_date,region_code,fuel_code,cheapest_brand,cheapest_price_nzd_per_l,all_brand_prices_json
2026-05-01,AUK,DSL,Z,3.131,"{""Z"":3.131,""BP"":3.188,""MOBIL"":3.174}"
2026-05-01,AUK,P91,MOBIL,3.197,"{""Z"":3.243,""BP"":3.251,""MOBIL"":3.197}"
2026-05-01,AUK,P95,Z,3.394,"{""Z"":3.394,""BP"":3.459,""MOBIL"":3.431}"
2026-05-01,AUK,P98,MOBIL,3.531,"{""Z"":3.543,""BP"":3.569,""MOBIL"":3.531}"
2026-05-01,BOP,DSL,MOBIL,3.119,"{""Z"":3.171,""BP"":3.203,""MOBIL"":3.119}"
2026-05-01,BOP,P91,MOBIL,3.148,"{""Z"":3.281,""BP"":3.27,""MOBIL"":3.148}"
2026-05-01,BOP,P95,MOBIL,3.372,"{""Z"":3.435,""BP"":3.485,""MOBIL"":3.372}"
2026-05-01,BOP,P98,MOBIL,3.476,"{""Z"":3.577,""BP"":3.577,""MOBIL"":3.476}"
2026-05-01,CAN,DSL,Z,3.144,"{""Z"":3.144,""BP"":3.201,""MOBIL"":3.167}"
2026-05-01,CAN,P91,MOBIL,3.206,"{""Z"":3.254,""BP"":3.27,""MOBIL"":3.206}"
2026-05-01,CAN,P95,Z,3.407,"{""Z"":3.407,""BP"":3.478,""MOBIL"":3.423}"
2026-05-01,CAN,P98,MOBIL,3.529,"{""Z"":3.556,""BP"":3.573,""MOBIL"":3.529}"
2026-05-01,HKB,DSL,Z,3.165,"{""Z"":3.165,""BP"":3.245}"
2026-05-01,HKB,P91,Z,3.281,"{""Z"":3.281,""BP"":3.318}"
2026-05-01,HKB,P95,Z,3.43,"{""Z"":3.43,""BP"":3.527}"
2026-05-01,HKB,P98,Z,3.572,"{""Z"":3.572,""BP"":3.63}"
2026-05-01,MBH,DSL,BP,3.166,"{""Z"":3.274,""BP"":3.166}"
2026-05-01,MBH,P91,BP,3.244,"{""Z"":3.396,""BP"":3.244}"
2026-05-01,MBH,P95,BP,3.455,"{""Z"":3.543,""BP"":3.455}"
2026-05-01,MBH,P98,BP,3.557,"{""Z"":3.686,""BP"":3.557}"
2026-05-01,MWT,DSL,Z,3.139,"{""Z"":3.139,""BP"":3.2,""MOBIL"":3.239}"
2026-05-01,MWT,P91,Z,3.257,"{""Z"":3.257,""BP"":3.261,""MOBIL"":3.278}"
2026-05-01,MWT,P95,Z,3.409,"{""Z"":3.409,""BP"":3.482,""MOBIL"":3.492}"
2026-05-01,MWT,P98,Z,3.552,"{""Z"":3.552,""BP"":3.578,""MOBIL"":3.595}"
2026-05-01,NTL,DSL,Z,3.2,"{""Z"":3.2,""BP"":3.259}"
2026-05-01,NTL,P91,Z,3.309,"{""Z"":3.309,""BP"":3.327}"
2026-05-01,NTL,P95,Z,3.458,"{""Z"":3.458,""BP"":3.542}"
2026-05-01,NTL,P98,Z,3.606,"{""Z"":3.606,""BP"":3.64}"
2026-05-01,OTA,DSL,Z,3.181,"{""Z"":3.181,""BP"":3.224,""MOBIL"":3.254}"
2026-05-01,OTA,P91,MOBIL,3.291,"{""Z"":3.293,""BP"":3.296,""MOBIL"":3.291}"
2026-05-01,OTA,P95,Z,3.439,"{""Z"":3.439,""BP"":3.504,""MOBIL"":3.507}"
2026-05-01,OTA,P98,Z,3.591,"{""Z"":3.591,""BP"":3.609,""MOBIL"":3.61}"
2026-05-01,STL,DSL,BP,3.238,"{""BP"":3.238}"
2026-05-01,STL,P91,BP,3.309,"{""BP"":3.309}"
2026-05-01,STL,P95,BP,3.513,"{""BP"":3.513}"
2026-05-01,STL,P98,BP,3.621,"{""BP"":3.621}"
2026-05-01,TKI,DSL,BP,3.205,"{""BP"":3.205,""MOBIL"":3.279}"
2026-05-01,TKI,P91,BP,3.281,"{""BP"":3.281,""MOBIL"":3.303}"
2026-05-01,TKI,P95,BP,3.497,"{""BP"":3.497,""MOBIL"":3.527}"
2026-05-01,TKI,P98,BP,3.595,"{""BP"":3.595,""MOBIL"":3.627}"
2026-05-01,WGN,DSL,MOBIL,3.079,"{""Z"":3.1,""BP"":3.193,""MOBIL"":3.079}"
2026-05-01,WGN,P91,MOBIL,3.109,"{""Z"":3.214,""BP"":3.26,""MOBIL"":3.109}"
2026-05-01,WGN,P95,MOBIL,3.332,"{""Z"":3.37,""BP"":3.469,""MOBIL"":3.332}"
2026-05-01,WGN,P98,MOBIL,3.431,"{""Z"":3.515,""BP"":3.567,""MOBIL"":3.431}"
2026-05-01,WKO,DSL,BP,3.13,"{""Z"":3.139,""BP"":3.13,""MOBIL"":3.236}"
2026-05-01,WKO,P91,BP,3.204,"{""Z"":3.248,""BP"":3.204,""MOBIL"":3.271}"
2026-05-01,WKO,P95,Z,3.402,"{""Z"":3.402,""BP"":3.414,""MOBIL"":3.488}"
2026-05-01,WKO,P98,BP,3.511,"{""Z"":3.54,""BP"":3.511,""MOBIL"":3.601}"
2026-05-01,WTC,DSL,BP,3.348,"{""BP"":3.348}"
2026-05-01,WTC,P91,BP,3.413,"{""BP"":3.413}"
2026-05-01,WTC,P95,BP,3.627,"{""BP"":3.627}"
2026-05-01,WTC,P98,BP,3.73,"{""BP"":3.73}"
