price_date,city_code,region_code,P91,P95,P98,DSL
2024-01-05,AKC,AUK,2.66,2.857,3.047,2.098
2024-01-05,ALE,OTA,2.696,2.864,3.04,2.108
2024-01-05,AMK,AUK,2.652,2.823,3.023,2.081
2024-01-05,ANS,AUK,2.683,2.858,3.045,2.109
2024-01-05,ASH,CAN,2.672,2.821,3.026,2.101
2024-01-05,BLE,MBH,2.711,2.869,3.071,2.11
2024-01-05,BLU,STL,2.752,2.919,3.065,2.164
2024-01-05,CAM,WKO,2.672,2.839,3.004,2.07
2024-01-05,CHC,CAN,2.629,2.792,2.961,2.027
2024-01-05,CRO,OTA,2.696,2.852,3.035,2.118
2024-01-05,DAR,NTL,2.766,2.915,3.137,2.165
2024-01-05,DUN,OTA,2.616,2.763,2.947,2.023
2024-01-05,FLD,MWT,2.685,2.854,3.025,2.117
2024-01-05,GBI,AUK,3.082,3.241,3.453,2.498
2024-01-05,GOR,STL,2.722,2.876,3.045,2.15
2024-01-05,GRY,WTC,2.793,2.956,3.109,2.195
2024-01-05,GSB,GIS,2.766,2.907,3.098,2.2
2024-01-05,HAM,WKO,2.631,2.795,2.945,2.012
2024-01-05,HAW,TKI,2.75,2.906,3.077,2.151
2024-01-05,HOK,WTC,2.82,2.981,3.146,2.236
2024-01-05,HST,HKB,2.662,2.81,3.03,2.116
2024-01-05,HVN,HKB,2.655,2.844,3.033,2.123
2024-01-05,INV,STL,2.673,2.839,3.016,2.109
2024-01-05,KAI,NTL,2.79,2.938,3.166,2.184
2024-01-05,KAI2,CAN,2.729,2.923,3.099,2.144
2024-01-05,KKE,NTL,2.774,2.916,3.135,2.152
2024-01-05,LHT,WGN,2.607,2.776,2.949,2.048
2024-01-05,LVN,MWT,2.67,2.844,3.012,2.091
2024-01-05,MAS,WGN,2.659,2.852,2.991,2.104
2024-01-05,MET,CAN,2.76,2.937,3.088,2.153
2024-01-05,MOT,TAS,2.75,2.894,3.082,2.159
2024-01-05,NEL,NSN,2.7,2.864,3.054,2.114
2024-01-05,NPL,TKI,2.66,2.821,2.989,2.079
2024-01-05,NPR,HKB,2.654,2.807,3.007,2.093
