price_date,island,fuel_code,pop_weighted_avg_nzd_per_l,year,month,season
2024-01-05,North,DSL,2.096,2024,1,Summer
2024-01-05,North,P91,2.675,2024,1,Summer
2024-01-05,North,P95,2.844,2024,1,Summer
2024-01-05,North,P98,3.027,2024,1,Summer
2024-01-05,South,DSL,2.083,2024,1,Summer
2024-01-05,South,P91,2.669,2024,1,Summer
2024-01-05,South,P95,2.834,2024,1,Summer
2024-01-05,South,P98,3.014,2024,1,Summer
2024-01-12,North,DSL,2.093,2024,1,Summer
2024-01-12,North,P91,2.681,2024,1,Summer
2024-01-12,North,P95,2.849,2024,1,Summer
2024-01-12,North,P98,3.014,2024,1,Summer
2024-01-12,South,DSL,2.081,2024,1,Summer
2024-01-12,South,P91,2.655,2024,1,Summer
2024-01-12,South,P95,2.819,2024,1,Summer
2024-01-12,South,P98,3.01,2024,1,Summer
2024-01-19,North,DSL,2.09,2024,1,Summer
2024-01-19,North,P91,2.665,2024,1,Summer
2024-01-19,North,P95,2.84,2024,1,Summer
2024-01-19,North,P98,3.01,2024,1,Summer
2024-01-19,South,DSL,2.079,2024,1,Summer
2024-01-19,South,P91,2.652,2024,1,Summer
2024-01-19,South,P95,2.815,2024,1,Summer
2024-01-19,South,P98,2.988,2024,1,Summer
2024-01-26,North,DSL,2.099,2024,1,Summer
2024-01-26,North,P91,2.687,2024,1,Summer
2024-01-26,North,P95,2.862,2024,1,Summer
2024-01-26,North,P98,3.018,2024,1,Summer
2024-01-26,South,DSL,2.076,2024,1,Summer
2024-01-26,South,P91,2.668,2024,1,Summer
2024-01-26,South,P95,2.84,2024,1,Summer
2024-01-26,South,P98,3.018,2024,1,Summer
2024-02-02,North,DSL,2.121,2024,2,Summer
2024-02-02,North,P91,2.739,2024,2,Summer
2024-02-02,North,P95,2.91,2024,2,Summer
2024-02-02,North,P98,3.078,2024,2,Summer
2024-02-02,South,DSL,2.107,2024,2,Summer
2024-02-02,South,P91,2.724,2024,2,Summer
2024-02-02,South,P95,2.888,2024,2,Summer
2024-02-02,South,P98,3.062,2024,2,Summer
2024-02-09,North,DSL,2.156,2024,2,Summer
2024-02-09,North,P91,2.778,2024,2,Summer
2024-02-09,North,P95,2.948,2024,2,Summer
2024-02-09,North,P98,3.12,2024,2,Summer
2024-02-09,South,DSL,2.144,2024,2,Summer
2024-02-09,South,P91,2.766,2024,2,Summer
2024-02-09,South,P95,2.94,2024,2,Summer
2024-02-09,South,P98,3.098,2024,2,Summer
2024-02-16,North,DSL,2.175,2024,2,Summer
2024-02-16,North,P91,2.787,2024,2,Summer
2024-02-16,North,P95,2.982,2024,2,Summer
2024-02-16,North,P98,3.141,2024,2,Summer
2024-02-16,South,DSL,2.165,2024,2,Summer
2024-02-16,South,P91,2.78,2024,2,Summer
2024-02-16,South,P95,2.958,2024,2,Summer
2024-02-16,South,P98,3.117,2024,2,Summer
2024-02-23,North,DSL,2.201,2024,2,Summer
2024-02-23,North,P91,2.817,2024,2,Summer
2024-02-23,North,P95,2.987,2024,2,Summer
2024-02-23,North,P98,3.17,2024,2,Summer
2024-02-23,South,DSL,2.174,2024,2,Summer
2024-02-23,South,P91,2.798,2024,2,Summer
2024-02-23,South,P95,2.967,2024,2,Summer
2024-02-23,South,P98,3.138,2024,2,Summer
2024-03-01,North,DSL,2.196,2024,3,Autumn
2024-03-01,North,P91,2.814,2024,3,Autumn
2024-03-01,North,P95,2.996,2024,3,Autumn
2024-03-01,North,P98,3.158,2024,3,Autumn
2024-03-01,South,DSL,2.172,2024,3,Autumn
2024-03-01,South,P91,2.787,2024,3,Autumn
2024-03-01,South,P95,2.979,2024,3,Autumn
2024-03-01,South,P98,3.14,2024,3,Autumn
2024-03-08,North,DSL,2.192,2024,3,Autumn
2024-03-08,North,P91,2.825,2024,3,Autumn
2024-03-08,North,P95,2.994,2024,3,Autumn
2024-03-08,North,P98,3.177,2024,3,Autumn
2024-03-08,South,DSL,2.172,2024,3,Autumn
2024-03-08,South,P91,2.807,2024,3,Autumn
2024-03-08,South,P95,2.989,2024,3,Autumn
2024-03-08,South,P98,3.152,2024,3,Autumn
2024-03-15,North,DSL,2.195,2024,3,Autumn
2024-03-15,North,P91,2.822,2024,3,Autumn
2024-03-15,North,P95,2.991,2024,3,Autumn
2024-03-15,North,P98,3.167,2024,3,Autumn
2024-03-15,South,DSL,2.162,2024,3,Autumn
2024-03-15,South,P91,2.781,2024,3,Autumn
2024-03-15,South,P95,2.977,2024,3,Autumn
2024-03-15,South,P98,3.152,2024,3,Autumn
2024-03-22,North,DSL,2.188,2024,3,Autumn
2024-03-22,North,P91,2.831,2024,3,Autumn
2024-03-22,North,P95,2.989,2024,3,Autumn
2024-03-22,North,P98,3.158,2024,3,Autumn
2024-03-22,South,DSL,2.162,2024,3,Autumn
2024-03-22,South,P91,2.801,2024,3,Autumn
2024-03-22,South,P95,2.967,2024,3,Autumn
2024-03-22,South,P98,3.143,2024,3,Autumn
2024-03-29,North,DSL,2.192,2024,3,Autumn
2024-03-29,North,P91,2.839,2024,3,Autumn
2024-03-29,North,P95,3.013,2024,3,Autumn
2024-03-29,North,P98,3.19,2024,3,Autumn
2024-03-29,South,DSL,2.171,2024,3,Autumn
2024-03-29,South,P91,2.83,2024,3,Autumn
2024-03-29,South,P95,2.989,2024,3,Autumn
2024-03-29,South,P98,3.166,2024,3,Autumn
2024-04-05,North,DSL,2.2,2024,4,Autumn
2024-04-05,North,P91,2.854,2024,4,Autumn
2024-04-05,North,P95,3.034,2024,4,Autumn
2024-04-05,North,P98,3.194,2024,4,Autumn
2024-04-05,South,DSL,2.161,2024,4,Autumn
2024-04-05,South,P91,2.847,2024,4,Autumn
2024-04-05,South,P95,3.008,2024,4,Autumn
2024-04-05,South,P98,3.185,2024,4,Autumn
